category_list,funding_total_usd,country_code,state_code,funding_rounds,target,founded_year,first_funding_year,last_funding_year
Media,10000000.0,IND,16,1,1,2010.0,2015.0,2015
Application Platforms,700000.0,USA,DE,2,1,2014.0,2014.0,2014
Apps,3406878.0,,,1,1,2010.0,2014.0,2014
Curated Web,2000000.0,CHN,22,1,1,2007.0,2008.0,2008
Software,2000000.0,USA,IL,1,1,2010.0,2014.0,2014
Games,41250.0,HKG,,1,1,2010.0,2014.0,2014
Biotechnology,762851.0,CAN,BC,2,1,1997.0,2009.0,2009
Analytics,33600000.0,USA,CA,4,1,2011.0,2013.0,2015
Mobile,1150050.0,USA,CA,3,1,2011.0,2011.0,2014
E-Commerce,40000.0,CHL,12,1,1,2012.0,2013.0,2013
Entertainment,2000000.0,USA,NC,1,1,2010.0,2013.0,2013
Networking,2000000.0,USA,FL,1,1,2013.0,2014.0,2014
Health and Wellness,2000000.0,USA,CA,1,1,1986.0,2010.0,2010
Health and Wellness,1750000.0,USA,NJ,1,1,1984.0,2011.0,2011
Internet Marketing,6000000.0,USA,NY,1,1,2013.0,2015.0,2015
Apps,5000000.0,USA,CA,1,1,2012.0,2015.0,2015
Entertainment,100000.0,USA,CA,1,1,2014.0,2014.0,2014
E-Commerce,2050000.0,USA,MD,4,1,2001.0,2009.0,2011
Education,4400000.0,GBR,H9,2,1,2013.0,2013.0,2014
Search,40000.0,USA,OR,1,1,2008.0,2011.0,2011
Art,500000.0,USA,WA,1,1,2009.0,2009.0,2009
Mobile,43923865.0,,,1,1,2008.0,2010.0,2010
Beauty,2000000.0,IND,25,1,1,2008.0,2013.0,2013
Curated Web,2535000.0,USA,CA,2,1,2010.0,2010.0,2011
Curated Web,6795451.0,USA,MA,9,1,2008.0,2009.0,2015
Local Businesses,10661772.8991108,FRA,A8,5,1,2010.0,2012.0,2015
Cosmetics,8900000.0,FRA,A9,1,1,2012.0,2015.0,2015
Games,10000000.0,CHN,22,3,1,2009.0,2011.0,2014
Hospitality,3000000.0,CHN,23,2,1,2010.0,2008.0,2010
Education,4500000.0,CHN,22,2,1,2010.0,2006.0,2006
Health Care,4000000.0,USA,WI,2,1,2014.0,2014.0,2015
Analytics,1250000.0,USA,CA,2,1,2011.0,2011.0,2011
Software,35000000.0,USA,NY,1,1,2000.0,2010.0,2010
Advertising,2000000.0,CAN,ON,2,1,2012.0,2013.0,2014
Curated Web,50000.0,USA,OH,1,0,2009.0,2009.0,2009
Coffee,100000.0,,,1,1,2015.0,2015.0,2015
E-Commerce,1600000.0,USA,CA,2,1,2013.0,2013.0,2014
Enterprise Software,100000.0,AUS,2,1,1,2009.0,2010.0,2010
Batteries,2000000.0,USA,NY,1,1,2010.0,2014.0,2014
iOS,2000000.0,,,2,1,2012.0,2013.0,2014
Biotechnology,55000000.0,USA,CA,1,1,2012.0,2015.0,2015
Biotechnology,3550000.0,USA,CA,2,1,2012.0,2012.0,2015
Software,77500.0,USA,MA,1,1,2010.0,2011.0,2011
Fashion,2000000.0,CAN,ON,1,1,2013.0,2014.0,2014
Health and Wellness,1958909.0,GBR,H9,1,1,2010.0,2015.0,2015
EdTech,2000000.0,,,1,1,2010.0,2011.0,2011
Social Travel,20000000.0,CHN,23,1,1,2011.0,2014.0,2014
Enterprise Software,1800000.0,USA,AL,1,0,2010.0,2011.0,2011
Health and Wellness,935000.0,USA,CA,1,1,2014.0,2014.0,2014
Sports,2000000.0,DNK,21,1,1,2013.0,2013.0,2013
Sports,2000000.0,USA,IL,1,1,2013.0,2014.0,2014
Real Estate,2000000.0,USA,TX,1,1,2011.0,2014.0,2014
Audio,440000.0,AUS,7,3,1,2012.0,2012.0,2013
Health Diagnostics,794000.0,USA,RI,6,1,2011.0,2012.0,2014
Advertising,650267.0,,,2,1,2012.0,2012.0,2013
E-Commerce,1000000.0,ROM,36,2,1,2008.0,2010.0,2015
unknown,13000000.0,CHN,2,1,1,2014.0,2015.0,2015
Internet,5400000.0,,,1,1,1997.0,2015.0,2015
Local Search,2000000.0,AUT,9,1,1,2007.0,2008.0,2008
Software,378812.0,GBR,C3,1,1,2013.0,2014.0,2014
Service Providers,11999347.0,USA,MA,1,1,2014.0,2014.0,2014
Publishing,130636.0,FRA,A8,1,1,2008.0,2012.0,2012
Mobile,1809056.0,KOR,13,1,1,2010.0,2014.0,2014
Consumer Goods,619494.0,NLD,11,1,1,2010.0,2012.0,2012
E-Commerce,2000000.0,USA,CA,1,1,2012.0,2012.0,2012
Manufacturing,71450000.0,USA,MA,9,1,2007.0,2008.0,2015
E-Commerce,2000000.0,CHN,,1,1,2010.0,2007.0,2007
Augmented Reality,700000.0,SWE,26,1,1,2010.0,2012.0,2012
